a, b, c
3, 4, 1
-3, 4, 1
3, -4, 1
-3, -4, 1
5, 12, 1
-5, 12, 1
5, -12, 1
-5, -12, 1
21, 20, 1
-21, 20, 1
21, -20, 1
-21, -20, 1
15, 8, 1
-15, 8, 1
15, -8, 1
-15, -8, 1
7, 24, 1
-7, 24, 1
7, -24, 1
-7, -24, 1
55, 48, 1
-55, 48, 1
55, -48, 1
-55, -48, 1
45, 28, 1
-45, 28, 1
45, -28, 1
-45, -28, 1
39, 80, 1
-39, 80, 1
39, -80, 1
-39, -80, 1
119, 120, 1
-119, 120, 1
119, -120, 1
-119, -120, 1
77, 36, 1
-77, 36, 1
77, -36, 1
-77, -36, 1
33, 56, 1
-33, 56, 1
33, -56, 1
-33, -56, 1
65, 72, 1
-65, 72, 1
65, -72, 1
-65, -72, 1
35, 12, 1
-35, 12, 1
35, -12, 1
-35, -12, 1
9, 40, 1
-9, 40, 1
9, -40, 1
-9, -40, 1
105, 88, 1
-105, 88, 1
105, -88, 1
-105, -88, 1
91, 60, 1
-91, 60, 1
91, -60, 1
-91, -60, 1
105, 208, 1
-105, 208, 1
105, -208, 1
-105, -208, 1
297, 304, 1
-297, 304, 1
297, -304, 1
-297, -304, 1
187, 84, 1
-187, 84, 1
187, -84, 1
-187, -84, 1
95, 168, 1
-95, 168, 1
95, -168, 1
-95, -168, 1
207, 224, 1
-207, 224, 1
207, -224, 1
-207, -224, 1
117, 44, 1
-117, 44, 1
117, -44, 1
-117, -44, 1
57, 176, 1
-57, 176, 1
57, -176, 1
-57, -176, 1
377, 336, 1
-377, 336, 1
377, -336, 1
-377, -336, 1
299, 180, 1
-299, 180, 1
299, -180, 1
-299, -180, 1
217, 456, 1
-217, 456, 1
217, -456, 1
-217, -456, 1
697, 696, 1
-697, 696, 1
697, -696, 1
-697, -696, 1
459, 220, 1
-459, 220, 1
459, -220, 1
-459, -220, 1
175, 288, 1
-175, 288, 1
175, -288, 1
-175, -288, 1
319, 360, 1
-319, 360, 1
319, -360, 1
-319, -360, 1
165, 52, 1
-165, 52, 1
165, -52, 1
-165, -52, 1
51, 140, 1
-51, 140, 1
51, -140, 1
-51, -140, 1
275, 252, 1
-275, 252, 1
275, -252, 1
-275, -252, 1
209, 120, 1
-209, 120, 1
209, -120, 1
-209, -120, 1
115, 252, 1
-115, 252, 1
115, -252, 1
-115, -252, 1
403, 396, 1
-403, 396, 1
403, -396, 1
-403, -396, 1
273, 136, 1
-273, 136, 1
273, -136, 1
-273, -136, 1
85, 132, 1
-85, 132, 1
85, -132, 1
-85, -132, 1
133, 156, 1
-133, 156, 1
133, -156, 1
-133, -156, 1
63, 16, 1
-63, 16, 1
63, -16, 1
-63, -16, 1
11, 60, 1
-11, 60, 1
11, -60, 1
-11, -60, 1
171, 140, 1
-171, 140, 1
171, -140, 1
-171, -140, 1
153, 104, 1
-153, 104, 1
153, -104, 1
-153, -104, 1
203, 396, 1
-203, 396, 1
203, -396, 1
-203, -396, 1
555, 572, 1
-555, 572, 1
555, -572, 1
-555, -572, 1
345, 152, 1
-345, 152, 1
345, -152, 1
-345, -152, 1
189, 340, 1
-189, 340, 1
189, -340, 1
-189, -340, 1
429, 460, 1
-429, 460, 1
429, -460, 1
-429, -460, 1
247, 96, 1
-247, 96, 1
247, -96, 1
-247, -96, 1
155, 468, 1
-155, 468, 1
155, -468, 1
-155, -468, 1
987, 884, 1
-987, 884, 1
987, -884, 1
-987, -884, 1
777, 464, 1
-777, 464, 1
777, -464, 1
-777, -464, 1
539, 1140, 1
-539, 1140, 1
539, -1140, 1
-539, -1140, 1
1755, 1748, 1
-1755, 1748, 1
1755, -1748, 1
-1755, -1748, 1
1161, 560, 1
-1161, 560, 1
1161, -560, 1
-1161, -560, 1
429, 700, 1
-429, 700, 1
429, -700, 1
-429, -700, 1
765, 868, 1
-765, 868, 1
765, -868, 1
-765, -868, 1
391, 120, 1
-391, 120, 1
391, -120, 1
-391, -120, 1
145, 408, 1
-145, 408, 1
145, -408, 1
-145, -408, 1
817, 744, 1
-817, 744, 1
817, -744, 1
-817, -744, 1
627, 364, 1
-627, 364, 1
627, -364, 1
-627, -364, 1
369, 800, 1
-369, 800, 1
369, -800, 1
-369, -800, 1
1265, 1248, 1
-1265, 1248, 1
1265, -1248, 1
-1265, -1248, 1
851, 420, 1
-851, 420, 1
851, -420, 1
-851, -420, 1
279, 440, 1
-279, 440, 1
279, -440, 1
-279, -440, 1
455, 528, 1
-455, 528, 1
455, -528, 1
-455, -528, 1
221, 60, 1
-221, 60, 1
221, -60, 1
-221, -60, 1
75, 308, 1
-75, 308, 1
75, -308, 1
-75, -308, 1
779, 660, 1
-779, 660, 1
779, -660, 1
-779, -660, 1
665, 432, 1
-665, 432, 1
665, -432, 1
-665, -432, 1
715, 1428, 1
-715, 1428, 1
715, -1428, 1
-715, -1428, 1
2059, 2100, 1
-2059, 2100, 1
2059, -2100, 1
-2059, -2100, 1
1305, 592, 1
-1305, 592, 1
1305, -592, 1
-1305, -592, 1
637, 1116, 1
-637, 1116, 1
637, -1116, 1
-637, -1116, 1
1357, 1476, 1
-1357, 1476, 1
1357, -1476, 1
-1357, -1476, 1
759, 280, 1
-759, 280, 1
759, -280, 1
-759, -280, 1
315, 988, 1
-315, 988, 1
315, -988, 1
-315, -988, 1
2139, 1900, 1
-2139, 1900, 1
2139, -1900, 1
-2139, -1900, 1
1705, 1032, 1
-1705, 1032, 1
1705, -1032, 1
-1705, -1032, 1
1275, 2668, 1
-1275, 2668, 1
1275, -2668, 1
-1275, -2668, 1
4059, 4060, 1
-4059, 4060, 1
4059, -4060, 1
-4059, -4060, 1
2665, 1272, 1
-2665, 1272, 1
2665, -1272, 1
-2665, -1272, 1
1037, 1716, 1
-1037, 1716, 1
1037, -1716, 1
-1037, -1716, 1
1917, 2156, 1
-1917, 2156, 1
1917, -2156, 1
-1917, -2156, 1
999, 320, 1
-999, 320, 1
999, -320, 1
-999, -320, 1
273, 736, 1
-273, 736, 1
273, -736, 1
-273, -736, 1
1425, 1312, 1
-1425, 1312, 1
1425, -1312, 1
-1425, -1312, 1
1075, 612, 1
-1075, 612, 1
1075, -612, 1
-1075, -612, 1
561, 1240, 1
-561, 1240, 1
561, -1240, 1
-561, -1240, 1
2001, 1960, 1
-2001, 1960, 1
2001, -1960, 1
-2001, -1960, 1
1363, 684, 1
-1363, 684, 1
1363, -684, 1
-1363, -684, 1
407, 624, 1
-407, 624, 1
407, -624, 1
-407, -624, 1
615, 728, 1
-615, 728, 1
615, -728, 1
-615, -728, 1
285, 68, 1
-285, 68, 1
285, -68, 1
-285, -68, 1
69, 260, 1
-69, 260, 1
69, -260, 1
-69, -260, 1
629, 540, 1
-629, 540, 1
629, -540, 1
-629, -540, 1
527, 336, 1
-527, 336, 1
527, -336, 1
-527, -336, 1
517, 1044, 1
-517, 1044, 1
517, -1044, 1
-517, -1044, 1
1525, 1548, 1
-1525, 1548, 1
1525, -1548, 1
-1525, -1548, 1
975, 448, 1
-975, 448, 1
975, -448, 1
-975, -448, 1
451, 780, 1
-451, 780, 1
451, -780, 1
-451, -780, 1
931, 1020, 1
-931, 1020, 1
931, -1020, 1
-931, -1020, 1
513, 184, 1
-513, 184, 1
513, -184, 1
-513, -184, 1
165, 532, 1
-165, 532, 1
165, -532, 1
-165, -532, 1
1173, 1036, 1
-1173, 1036, 1
1173, -1036, 1
-1173, -1036, 1
943, 576, 1
-943, 576, 1
943, -576, 1
-943, -576, 1
741, 1540, 1
-741, 1540, 1
741, -1540, 1
-741, -1540, 1
2325, 2332, 1
-2325, 2332, 1
2325, -2332, 1
-2325, -2332, 1
1519, 720, 1
-1519, 720, 1
1519, -720, 1
-1519, -720, 1
611, 1020, 1
-611, 1020, 1
611, -1020, 1
-611, -1020, 1
1155, 1292, 1
-1155, 1292, 1
1155, -1292, 1
-1155, -1292, 1
609, 200, 1
-609, 200, 1
609, -200, 1
-609, -200, 1
135, 352, 1
-135, 352, 1
135, -352, 1
-135, -352, 1
663, 616, 1
-663, 616, 1
663, -616, 1
-663, -616, 1
493, 276, 1
-493, 276, 1
493, -276, 1
-493, -276, 1
231, 520, 1
-231, 520, 1
231, -520, 1
-231, -520, 1
855, 832, 1
-855, 832, 1
855, -832, 1
-855, -832, 1
589, 300, 1
-589, 300, 1
589, -300, 1
-589, -300, 1
161, 240, 1
-161, 240, 1
161, -240, 1
-161, -240, 1
225, 272, 1
-225, 272, 1
225, -272, 1
-225, -272, 1
99, 20, 1
-99, 20, 1
99, -20, 1
-99, -20, 1
13, 84, 1
-13, 84, 1
13, -84, 1
-13, -84, 1
253, 204, 1
-253, 204, 1
253, -204, 1
-253, -204, 1
231, 160, 1
-231, 160, 1
231, -160, 1
-231, -160, 1
333, 644, 1
-333, 644, 1
333, -644, 1
-333, -644, 1
893, 924, 1
-893, 924, 1
893, -924, 1
-893, -924, 1
551, 240, 1
-551, 240, 1
551, -240, 1
-551, -240, 1
315, 572, 1
-315, 572, 1
315, -572, 1
-315, -572, 1
731, 780, 1
-731, 780, 1
731, -780, 1
-731, -780, 1
425, 168, 1
-425, 168, 1
425, -168, 1
-425, -168, 1
301, 900, 1
-301, 900, 1
301, -900, 1
-301, -900, 1
1885, 1692, 1
-1885, 1692, 1
1885, -1692, 1
-1885, -1692, 1
1479, 880, 1
-1479, 880, 1
1479, -880, 1
-1479, -880, 1
1005, 2132, 1
-1005, 2132, 1
1005, -2132, 1
-1005, -2132, 1
3293, 3276, 1
-3293, 3276, 1
3293, -3276, 1
-3293, -3276, 1
2183, 1056, 1
-2183, 1056, 1
2183, -1056, 1
-2183, -1056, 1
795, 1292, 1
-795, 1292, 1
795, -1292, 1
-795, -1292, 1
1403, 1596, 1
-1403, 1596, 1
1403, -1596, 1
-1403, -1596, 1
713, 216, 1
-713, 216, 1
713, -216, 1
-713, -216, 1
287, 816, 1
-287, 816, 1
287, -816, 1
-287, -816, 1
1647, 1496, 1
-1647, 1496, 1
1647, -1496, 1
-1647, -1496, 1
1269, 740, 1
